country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ghana,31.8,31.8,31.8,31.8,33.9,35.2,35.2,33.5,33.5,32.7,33.6,32.7,32.7,32.7,33.5,33.7,33.5,31.8,30.5,30.5,30.5,30.5,30.5,30.6,30.6,37.6,37.6,36.9,36.9,36.9,36.3,36.3,36.3,36.3,36.3,36.9,36.9,36.9,35.9,35.9,36.5,36.5,35.9,35.9,36.5,36.5,35
Guinea,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.8,27.4,22.1,21.5,22.1,22.1,22.2,22.2,22.2,22.2,14.7,12.8,12.8,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.3,12.3,12.3,12.3,12.3,12.3,13,21.2,21.9,23.1,23.1,24,24,25.3,24,24,24,24
Gambia,48.4,45.1,43.6,43.6,44,44,42.4,42.4,42,42,42,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,40.9,38,38,38,38,38,38.5,38.5,38.5,38.5,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,34.4,34.4,34.4,37,50.6,50.6,45.8,45.8,47.4
Guinea-Bissau,38.7,38.7,38.7,38.7,38.7,28.5,27.3,27.3,28.5,28.5,28.5,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,16,16,16,16,17.5,17.5,13.5,13.5,13.5,13.5,20.8,20.8,19.9,19.9,20.8,20.8,20.8,20.8,17.9,22,23.3,23.3,22,22,22,23,23.8,25.3
Equatorial Guinea,4.52,4.52,4.52,4.52,4.52,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3
Greece,54.9,54.9,54.9,54.9,54.9,54.9,56,56,54.9,55,55,55.7,55.7,56,56,56,56,56,56,56,58.3,58.3,58.3,59.7,59.7,59.7,59.2,57.6,57.6,57.6,57.6,57.6,57.6,56.3,58.2,57.3,58.2,58.2,60.1,60.1,61.8,61.8,60.8,60.8,61.8,60.1,60.1
Guatemala,29.2,29.2,29.2,22.4,22.4,22.4,23.9,24.9,31.5,31.6,31.6,25.5,25.5,25.5,25.5,25.5,25.5,25.5,29.2,29.2,29.2,32.8,33,33,30.7,27.2,27,25.2,25.2,31.9,31.9,31.9,31.9,32.5,33.3,33.3,33.3,32.5,32.8,32.8,33.3,37.4,36,30.3,30.3,31.6,29.6
Guyana,42.6,42.6,42.6,42.6,42.6,35.5,37.6,37.6,37.6,36.8,36.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,42.6,47.9,48.6,48.6,33.7,39,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.3,39.3,39.3,39.3,39.3,39.3,38.7,39.2,39.2,42.8,46.3,46.5,46.9,46.9,43.9,43.3
Honduras,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.7,25.8,26,26,26,26,26,26,26,26,26,26,26.8,26.8,26.8,26.8,26.8,26.8,27.5,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,27.3,26.2,26.2,25.5,25.5,25.5,26.2,26.2,26.2,25.2,25.2,26.1,28.2
Croatia,,,,,,,,,,,,,,,,,35,35,35,35,35,36,36,36.4,36.4,57.4,58.2,58.2,56.4,44.5,43.8,43.8,44.3,44.3,48.7,55.6,58.8,58.1,58.9,58.9,59.5,55.8,54.6,55.2,55.2,55.2,56.1
